geocode,province,municipality,signal
PH168503000,Dinagat Islands,Dinagat,2
PH168505000,Dinagat Islands,Loreto,2
PH168504000,Dinagat Islands,Libjo,2
PH168506000,Dinagat Islands,San Jose,2
PH168502000,Dinagat Islands,Cagdianao,2
PH168501000,Dinagat Islands,Basilisa,2
PH168507000,Dinagat Islands,Tubajon,2
PH166708001,Surigao del Norte,Siargao - Bucas Grande Group,2
PH166714000,Surigao del Norte,Mainit,2
PH166702000,Surigao del Norte,Bacuag,2
PH166725000,Surigao del Norte,Tagana-An,2
PH166727000,Surigao del Norte,Tubod,2
PH166711000,Surigao del Norte,Gigaquit,2
PH166706000,Surigao del Norte,Claver,2
PH166715000,Surigao del Norte,Malimono,2
PH166717000,Surigao del Norte,Placer,2
PH166701000,Surigao del Norte,Alegria,2
PH166719000,Surigao del Norte,San Francisco,2
PH166722000,Surigao del Norte,Sison,2
PH166724000,Surigao del Norte,Surigao City,2
PH166810000,Surigao del Sur,Lanuza,2
PH166816000,Surigao del Sur,San Miguel,2
PH166818000,Surigao del Sur,Tago,2
PH166806000,Surigao del Sur,Carmen,2
PH166808000,Surigao del Sur,Cortes,2
PH166802000,Surigao del Sur,Bayabas,2
PH166804000,Surigao del Sur,Cagwait,2
PH166811000,Surigao del Sur,Lianga,2
PH166817000,Surigao del Sur,Tagbina,2
PH166819000,Surigao del Sur,City of Tandag,2
PH166813000,Surigao del Sur,Madrid,2
PH166815000,Surigao del Sur,San Agustin,2
PH166803000,Surigao del Sur,City of Bislig,2
PH166805000,Surigao del Sur,Cantilan,2
PH166801000,Surigao del Sur,Barobo,2
PH166807000,Surigao del Sur,Carrascal,2
PH166809000,Surigao del Sur,Hinatuan,2
PH166812000,Surigao del Sur,Lingig,2
PH166814000,Surigao del Sur,Marihatag,2
PH112505000,Davao Oriental,Cateel,2
PH160204000,Agusan del Norte,Carmen,1
PH160206000,Agusan del Norte,Kitcharao,2
PH160202000,Agusan del Norte,Butuan City,2
PH160208000,Agusan del Norte,Magallanes,2
PH160211000,Agusan del Norte,Tubay,2
PH160201000,Agusan del Norte,Buenavista,1
PH160203000,Agusan del Norte,City of Cabadbaran,2
PH160210000,Agusan del Norte,Santiago,2
PH160212000,Agusan del Norte,Remedios T. Romualdez,2
PH160209000,Agusan del Norte,Nasipit,1
PH160205000,Agusan del Norte,Jabonga,2
PH160207000,Agusan del Norte,Las Nieves,1
PH086405000,Southern Leyte,Libagon,1
PH086401000,Southern Leyte,Anahawan,1
PH086403000,Southern Leyte,Hinunangan,1
