year,month,day,hour,minute,value,tides
2024,1,7,3,6,0.11,l
2024,1,7,18,40,0.85,h
2024,1,8,3,42,-0.08,l
2024,1,8,19,7,0.99,h
2024,1,9,4,17,-0.24,l
2024,1,9,19,43,1.13,h
2024,1,10,4,53,-0.38,l
2024,1,10,20,25,1.25,h
2024,1,11,5,33,-0.48,l
2024,1,11,21,12,1.34,h
2024,1,12,6,15,-0.53,l
2024,1,12,22,3,1.37,h
2024,1,13,6,57,-0.51,l
2024,1,13,22,56,1.34,h
2024,1,14,7,41,-0.45,l
2024,1,14,23,50,1.26,h
2024,1,15,8,22,-0.34,l
2024,1,16,0,44,1.11,h
2024,1,16,8,58,-0.2,l
2024,1,16,15,39,0.31,h
2024,1,16,17,58,0.29,l
2024,1,17,1,38,0.9,h
2024,1,17,9,27,-0.06,l
2024,1,17,16,0,0.43,h
2024,1,17,20,8,0.32,l
2024,1,18,2,33,0.66,h
2024,1,18,9,41,0.07,l
2024,1,18,16,32,0.57,h
2024,1,18,22,33,0.28,l
2024,1,19,3,40,0.42,h
2024,1,19,9,30,0.17,l
2024,1,19,17,10,0.7,h
2024,1,20,1,30,0.14,l
2024,1,20,5,57,0.2,h
2024,1,20,8,6,0.19,l
2024,1,20,17,51,0.83,h
2024,1,21,3,12,-0.04,l
2024,1,21,18,33,0.94,h
2024,1,22,4,2,-0.2,l
2024,1,22,19,15,1.03,h
2024,1,23,4,36,-0.3,l
2024,1,23,19,57,1.11,h
2024,1,24,5,9,-0.36,l
2024,1,24,20,41,1.16,h
2024,1,25,5,40,-0.38,l
2024,1,25,21,24,1.18,h
2024,1,26,6,13,-0.36,l
2024,1,26,22,9,1.18,h
2024,1,27,6,45,-0.32,l
2024,1,27,22,51,1.15,h
2024,1,28,7,17,-0.24,l
2024,1,28,23,32,1.08,h
2024,1,29,7,46,-0.16,l
2024,1,30,0,10,0.98,h
2024,1,30,8,10,-0.07,l
2024,1,30,14,18,0.31,h
2024,1,30,16,47,0.28,l
2024,1,31,0,45,0.85,h
2024,1,31,8,24,0.02,l
2024,1,31,14,27,0.39,h
2024,1,31,18,4,0.32,l
2024,2,1,1,19,0.7,h
2024,2,1,8,26,0.09,l
2024,2,1,14,45,0.49,h
2024,2,1,20,23,0.34,l
2024,2,2,1,54,0.54,h
2024,2,2,8,17,0.15,l
2024,2,2,15,11,0.59,h
2024,2,2,22,44,0.28,l
2024,2,3,2,36,0.36,h
2024,2,3,7,57,0.18,l
2024,2,3,15,44,0.69,h
2024,2,4,0,48,0.15,l
2024,2,4,4,16,0.19,h
2024,2,4,6,34,0.18,l
2024,2,4,16,26,0.8,h
2024,2,5,2,20,-0.01,l
2024,2,5,17,17,0.92,h
2024,2,6,3,11,-0.18,l
2024,2,6,18,14,1.05,h
2024,2,7,3,52,-0.32,l
2024,2,7,19,11,1.17,h
2024,2,8,4,32,-0.42,l
2024,2,8,20,9,1.26,h
2024,2,9,5,12,-0.47,l
2024,2,9,21,9,1.32,h
2024,2,10,5,51,-0.46,l
2024,2,10,22,8,1.31,h
2024,2,11,6,30,-0.38,l
2024,2,11,13,10,0.21,h
2024,2,11,14,54,0.19,l
2024,2,11,23,5,1.24,h
2024,2,12,7,5,-0.26,l
2024,2,12,13,9,0.28,h
2024,2,12,16,26,0.17,l
2024,2,13,0,0,1.1,h
2024,2,13,7,34,-0.11,l
2024,2,13,13,24,0.39,h
2024,2,13,17,49,0.16,l
2024,2,14,0,51,0.91,h
2024,2,14,7,54,0.04,l
2024,2,14,13,48,0.53,h
2024,2,14,19,19,0.15,l
2024,2,15,1,44,0.68,h
2024,2,15,8,0,0.16,l
2024,2,15,14,21,0.66,h
2024,2,15,20,56,0.13,l
2024,2,16,2,42,0.44,h
2024,2,16,7,41,0.22,l
2024,2,16,15,1,0.77,h
2024,2,16,22,58,0.08,l
