date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
7-Jan,06:40PM,0.85,TODAY,03:06AM,0.11,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Jan,07:07PM,0.99,TODAY,03:42AM,-0.08,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Jan,07:43PM,1.13,TODAY,04:17AM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Jan,08:25PM,1.25,TODAY,04:53AM,-0.38,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-Jan,09:12PM,1.34,TODAY,05:33AM,-0.48,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-Jan,10:03PM,1.37,TODAY,06:15AM,-0.53,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-Jan,10:56PM,1.34,TODAY,06:57AM,-0.51,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-Jan,11:50PM,1.26,TODAY,07:41AM,-0.45,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-Jan,12:44AM,1.11,TODAY,08:58AM,-0.2,TODAY,03:39PM,0.31,TODAY,05:58PM,0.29,TODAY,-,-,-,-,-,-
17-Jan,01:38AM,0.9,TODAY,09:27AM,-0.06,TODAY,04:00PM,0.43,TODAY,08:08PM,0.32,TODAY,-,-,-,-,-,-
18-Jan,02:33AM,0.66,TODAY,09:41AM,0.07,TODAY,04:32PM,0.57,TODAY,10:33PM,0.28,TODAY,-,-,-,-,-,-
19-Jan,03:40AM,0.42,TODAY,09:30AM,0.17,TODAY,05:10PM,0.7,TODAY,-,-,-,-,-,-,-,-,-
20-Jan,05:57AM,0.2,TODAY,01:30AM,0.14,TODAY,05:51PM,0.83,TODAY,08:06AM,0.19,TODAY,-,-,-,-,-,-
21-Jan,06:33PM,0.94,TODAY,03:12AM,-0.04,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
22-Jan,07:15PM,1.03,TODAY,04:02AM,-0.2,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
23-Jan,07:57PM,1.11,TODAY,04:36AM,-0.3,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
24-Jan,08:41PM,1.16,TODAY,05:09AM,-0.36,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-Jan,09:24PM,1.18,TODAY,05:40AM,-0.38,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-Jan,10:09PM,1.18,TODAY,06:13AM,-0.36,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-Jan,10:51PM,1.15,TODAY,06:45AM,-0.32,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-Jan,11:32PM,1.08,TODAY,07:17AM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-Jan,12:10AM,0.98,TODAY,08:10AM,-0.07,TODAY,02:18PM,0.31,TODAY,04:47PM,0.28,TODAY,-,-,-,-,-,-
31-Jan,12:45AM,0.85,TODAY,08:24AM,0.02,TODAY,02:27PM,0.39,TODAY,06:04PM,0.32,TODAY,-,-,-,-,-,-
1-Feb,01:19AM,0.7,TODAY,08:26AM,0.09,TODAY,02:45PM,0.49,TODAY,08:23PM,0.34,TODAY,-,-,-,-,-,-
2-Feb,01:54AM,0.54,TODAY,08:17AM,0.15,TODAY,03:11PM,0.59,TODAY,10:44PM,0.28,TODAY,-,-,-,-,-,-
3-Feb,02:36AM,0.36,TODAY,07:57AM,0.18,TODAY,03:44PM,0.69,TODAY,-,-,-,-,-,-,-,-,-
4-Feb,04:16AM,0.19,TODAY,12:48AM,0.15,TODAY,04:26PM,0.8,TODAY,06:34AM,0.18,TODAY,-,-,-,-,-,-
5-Feb,05:17PM,0.92,TODAY,02:20AM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
6-Feb,06:14PM,1.05,TODAY,03:11AM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
7-Feb,07:11PM,1.17,TODAY,03:52AM,-0.32,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
8-Feb,08:09PM,1.26,TODAY,04:32AM,-0.42,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
9-Feb,09:09PM,1.32,TODAY,05:12AM,-0.47,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
10-Feb,10:08PM,1.31,TODAY,05:51AM,-0.46,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
