date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
7-Jan,06:40PM,0.85,TOMORROW,03:06AM,0.11,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
8-Jan,07:07PM,0.99,TOMORROW,03:42AM,-0.08,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
9-Jan,07:43PM,1.13,TOMORROW,04:17AM,-0.24,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
10-Jan,08:25PM,1.25,TOMORROW,04:53AM,-0.38,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
11-Jan,09:12PM,1.34,TOMORROW,05:33AM,-0.48,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
12-Jan,10:03PM,1.37,TOMORROW,06:15AM,-0.53,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
13-Jan,10:56PM,1.34,TOMORROW,06:57AM,-0.51,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
14-Jan,11:50PM,1.26,TOMORROW,07:41AM,-0.45,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
16-Jan,12:44AM,1.11,TOMORROW,08:58AM,-0.2,TOMORROW,03:39PM,0.31,TOMORROW,05:58PM,0.29,TOMORROW,-,-,-,-,-,-
17-Jan,01:38AM,0.9,TOMORROW,09:27AM,-0.06,TOMORROW,04:00PM,0.43,TOMORROW,08:08PM,0.32,TOMORROW,-,-,-,-,-,-
18-Jan,02:33AM,0.66,TOMORROW,09:41AM,0.07,TOMORROW,04:32PM,0.57,TOMORROW,10:33PM,0.28,TOMORROW,-,-,-,-,-,-
19-Jan,03:40AM,0.42,TOMORROW,09:30AM,0.17,TOMORROW,05:10PM,0.7,TOMORROW,-,-,-,-,-,-,-,-,-
20-Jan,05:57AM,0.2,TOMORROW,01:30AM,0.14,TOMORROW,05:51PM,0.83,TOMORROW,08:06AM,0.19,TOMORROW,-,-,-,-,-,-
21-Jan,06:33PM,0.94,TOMORROW,03:12AM,-0.04,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
22-Jan,07:15PM,1.03,TOMORROW,04:02AM,-0.2,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
23-Jan,07:57PM,1.11,TOMORROW,04:36AM,-0.3,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
